Name,Display Name,XML Attribute,Type,Supports Zero Impressions,Enum Values,Behavior,Notes
ConversionCategoryName,Conversion category,conversionCategory,String,False,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionRate,Click conversion rate,clickConversionRate,Double,False,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,False,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionTypeName,Conversion name,conversionName,String,False,,Attribute,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc).  Prevents zero-conversion rows from being returned.
"
ConversionValue,Total conv. value,totalConvValue,Double,False,,Metric,
Conversions,Converted clicks,convertedClicks,Long,False,,Metric,
ConversionsManyPerClick,Conversions,conversions,Long,False,,Metric,
Cost,Cost,cost,Money,False,,Metric,
CostPerConversion,Cost / converted click,costConvertedClick,Money,False,,Metric,
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,False,,Metric,
CreativeId,Ad ID,adID,Long,False,,Attribute,
Ctr,CTR,ctr,Double,False,,Metric,"Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,False,,Attribute,
Date,Day,day,Date,False,,Segment,
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,False,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"Predicate values / display values:
MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
"
DestinationUrl,Destination URL,destinationURL,String,False,,Attribute,
Device,Device,device,DeviceType,False,"UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
",Segment,"Predicate values / display values:
UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
"
ExternalCustomerId,Customer ID,customerID,Long,False,,Attribute,
Impressions,Impressions,impressions,Long,False,,Metric,
KeywordId,Keyword ID,keywordID,long,False,,Attribute,"In the Ad Performance Report this field contains the ID of the criterion that triggered the ad, segmenting the report and preventing zero impressions. The ID can be for any type of criterion, including placements, verticals, etc. Cross-reference with the Criteria Report to determine the criteria type and details.
"
KeywordTextMatchingQuery,Keyword,keyword,String,False,,Attribute,
MatchType,Match type,matchType,QueryMatchType,False,"AUTO / auto
BROAD / broad
BROAD_SESSION / broad (session-based)
EXACT / exact
EXPANDED / broad
PHRASE / phrase
",Segment,"Predicate values / display values:
AUTO / auto
BROAD / broad
BROAD_SESSION / broad (session-based)
EXACT / exact
EXPANDED / broad
PHRASE / phrase
"
MatchTypeWithVariant,Match type,matchType,QueryMatchTypeWithVariant,False,"AUTO / auto
BROAD / broad
BROAD_SESSION / broad (session-based)
EXACT / exact
EXPANDED / broad
PHRASE / phrase
NEAR_EXACT / exact (close variant)
NEAR_PHRASE / phrase (close variant)
",Segment,"Predicate values / display values:
AUTO / auto
BROAD / broad
BROAD_SESSION / broad (session-based)
EXACT / exact
EXPANDED / broad
PHRASE / phrase
NEAR_EXACT / exact (close variant)
NEAR_PHRASE / phrase (close variant)
"
Month,Month,month,String,False,,Segment,
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,False,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"Predicate values / display values:
JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
"
PrimaryCompanyName,Company name,companyName,String,False,,Attribute,
Quarter,Quarter,quarter,String,False,,Segment,
Query,Search term,searchTerm,String,False,,Attribute,"If the string for this attribute is longer than 128 char bytes, the returned result will NOT be a single aggregated row.
"
ValuePerConversion,Value / converted click,valueConvertedClick,Double,False,,Metric,
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,False,,Metric,
ViewThroughConversions,View-through conv.,viewThroughConv,Long,False,,Metric,
Week,Week,week,String,False,,Segment,
Year,Year,year,Integer,False,,Segment,
